Symbol	Prob	Huffman Code

!		0.0088		1010001
,		0.0022		101000011
.		0.011		1100111
A		0.0813		1110
B		0.0088		1100110
C		0.0264		01010
D		0.0308		10101
E		0.1165		100
F		0.0154		101001
G		0.0154		110010
H		0.033		10111
I		0.0286		01011
J		0.0022		10100000
K		0.0242		111110
L		0.0484		11110
M		0.033		11000
N		0.0549		0001
O		0.1077		001
P		0.0308		10110
R		0.0505		0000
S		0.0549		0100
T		0.1121		011
U		0.0418		11011
V		0.011		1111110
W		0.0132		1111111
Y		0.0374		11010
